acX,acY,acZ,gyX,gyY,gyZ,time,Akselerasi
0.92,0.13,0.48,497.49,1.86,510.16,12:31:58,1.045801128
0.91,0.13,0.48,497.33,0.84,2.3,12:31:58,1.037014947
0.92,0.12,0.44,498.3,0.01,3.55,12:31:59,1.026839812
0.92,0.13,0.42,498.16,0.31,510.9,12:31:59,1.019656805
0.91,0.13,0.46,498.47,0.21,505.37,12:32:00,1.027910502
0.91,0.12,0.43,497.7,0.39,506.7,12:32:00,1.013607419
0.9,0.13,0.41,498.41,0.94,509.83,12:32:01,0.997496867
0.91,0.14,0.43,498.28,-0.22,10.02,12:32:01,1.016169277
0.92,0.12,0.47,498.22,0.56,503.63,12:32:02,1.040048076
0.91,0.11,0.47,497.97,0.95,505.37,12:32:02,1.030097083
0.91,0.12,0.48,498.15,0.76,507.12,12:32:03,1.035808863
0.91,0.12,0.44,498.27,-0.45,10.15,12:32:03,1.017889974
0.92,0.13,0.44,498.17,0.12,510.33,12:32:04,1.028056419
0.91,0.13,0.4,498.37,-0.08,7.98,12:32:04,1.002496883
0.93,0.12,0.41,498.19,0.82,507.23,12:32:05,1.02342562
0.93,0.13,0.45,498.09,0.34,9.33,12:32:05,1.041297268
0.92,0.12,0.43,497.99,0.72,503.98,12:32:06,1.022594739
1.02,3.94,3.96,498.27,0.51,517.4,12:32:06,5.678520934
