acX,acY,acZ,gyX,gyY,gyZ,time,Akselerasi
1,3.93,3.78,498.12,0.39,500.93,12:31:24,5.54376226
1,3.94,3.79,497.97,0.25,0.79,12:31:24,5.557670375
1,3.94,3.79,498.21,0.4,500.98,12:31:25,5.557670375
0.99,3.93,3.79,498.29,0.31,500.72,12:31:25,5.548792661
1,3.94,3.8,498.01,-0.07,500.94,12:31:26,5.564494586
0.98,3.94,3.79,497.94,-1.39,501,12:31:26,5.554106589
1,3.95,3.83,498.18,0.2,1.03,12:31:27,5.59208369
0.99,3.93,3.81,498.65,16.21,492.55,12:31:27,5.562472472
0.97,0.15,0.25,499.48,37.85,488.39,12:31:28,1.012867217
0.95,0.16,0.33,486.73,496.66,494.23,12:31:28,1.018331969
0.83,0.2,0.37,491.86,22,496.34,12:31:29,0.930483745
0.78,0.24,0.53,492.86,494.34,497.54,12:31:29,0.973087869
0.87,0.25,0.41,497,2.18,4.85,12:31:30,0.993730346
0.87,0.18,0.41,498.54,5.53,4.94,12:31:30,0.978468191
0.89,0.13,0.41,2.96,496.55,3.84,12:31:31,0.988483687
0.9,0.13,0.38,499.3,-0.79,0.85,12:31:31,0.985545534
0.9,0.13,0.39,498.75,0.08,500.6,12:31:32,0.989444288
0.9,0.13,0.39,498.8,0.46,0.94,12:31:32,0.989444288
0.92,0.13,0.38,498.81,-1.98,2.83,12:31:33,1.003842617
0.92,0.12,0.38,496.54,1.49,499.46,12:31:33,1.002596629
0.9,0.13,0.4,498.99,0.02,0.96,12:31:34,0.993428407
0.9,0.12,0.39,498.16,0.55,1.49,12:31:34,0.988180146
0.91,0.13,0.39,497.99,0.6,0.87,12:31:35,0.998548947
0.9,0.12,0.39,497.93,0.69,500.81,12:31:35,0.988180146
0.9,0.13,0.39,498.96,0.37,0.81,12:31:36,0.989444288
0.91,0.13,0.39,497.48,1.77,500.61,12:31:36,0.998548947
0.9,0.12,0.39,497.3,0.8,0.81,12:31:37,0.988180146
0.91,0.12,0.41,498.22,0,0.81,12:31:37,1.005286029
0.91,0.12,0.39,498.12,0.27,501,12:31:38,0.997296345
0.9,0.12,0.38,498.38,0.18,500.84,12:31:39,0.984276384
0.91,0.12,0.38,497.67,0.34,500.95,12:31:39,0.993428407
0.9,0.12,0.39,498.36,0.86,500.91,12:31:40,0.988180146
0.91,0.13,0.39,498.21,-0.27,0.88,12:31:40,0.998548947
0.91,0.12,0.37,498.16,0.51,500.94,12:31:41,0.989646401
0.91,0.11,0.37,497.94,0.93,500.68,12:31:41,0.988483687
0.91,0.12,0.39,498.07,0.73,500.97,12:31:42,0.997296345
0.91,0.12,0.38,498.23,-0.47,0.87,12:31:42,0.993428407
0.91,0.12,0.38,498.11,0.07,500.96,12:31:43,0.993428407
0.91,0.12,0.37,498.32,-0.1,0.81,12:31:43,0.989646401
0.92,0.12,0.37,498.16,0.74,500.9,12:31:44,0.998849338
0.92,0.12,0.38,498.06,0.28,0.79,12:31:44,1.002596629
0.91,0.12,0.37,497.96,0.62,500.71,12:31:45,0.989646401
1.01,3.94,3.87,498.17,0.43,510.3,12:31:45,5.614320974
1,3.95,3.87,498.02,0.31,8.61,12:31:46,5.619555143
1.01,3.95,3.82,498.26,0.46,510.11,12:31:46,5.587038572
0.99,3.93,3.84,498.33,0.35,507.11,12:31:47,5.583063675
1,3.94,3.84,498.1,-0.03,506.73,12:31:47,5.59188698
0.99,3.95,3.84,498,-1.38,504.29,12:31:48,5.597159994
1,3.96,3.85,498.28,0.21,2.27,12:31:48,5.612851325
0.99,3.94,3.83,498.72,16.29,496.22,12:31:49,5.583242785
0.97,0.16,0.32,499.53,37.92,490.84,12:31:49,1.033876201
0.96,0.17,0.4,486.76,496.72,500.67,12:31:50,1.053802638
0.83,0.21,0.41,491.94,22.07,499.57,12:31:50,0.949262872
0.78,0.24,0.54,492.94,494.35,506.61,12:31:51,0.978570386
0.88,0.26,0.42,497.1,2.2,9.39,12:31:51,1.009158065
0.87,0.18,0.48,498.6,5.62,11.29,12:31:52,1.009801961
0.89,0.13,0.48,3.04,496.58,8.96,12:31:52,1.019509686
0.91,0.13,0.41,499.39,-0.75,6.4,12:31:53,1.006528688
0.9,0.13,0.43,498.79,0.1,506.6,12:31:53,1.005882697
0.91,0.14,0.4,498.9,0.49,2.21,12:31:54,1.003842617
0.92,0.13,0.41,498.9,-1.93,6.99,12:31:54,1.015578653
0.93,0.12,0.42,496.6,1.54,502.94,12:31:55,1.027472627
0.9,0.13,0.43,499.08,0.03,2.78,12:31:55,1.005882697
0.91,0.12,0.43,498.23,0.63,7.73,12:31:56,1.013607419
0.92,0.14,0.43,498.04,0.69,6.37,12:31:56,1.025134138
0.9,0.13,0.48,498.01,0.75,505.18,12:31:57,1.028250942
0.91,0.13,0.44,498.99,0.44,7.23,12:31:57,1.019117265
