acX,acY,acZ,gyX,gyY,gyZ,time,Akselerasi
3.02,0.15,3.95,494.71,494.4,501.01,12:17:49,4.974474847
2.99,4,0.11,485.75,493.64,498.34,12:17:49,4.995217713
2.98,0.23,3.92,14.61,491.56,7.92,12:17:50,4.929472588
3.12,3.99,0.15,475.48,491.83,498.42,12:17:50,5.067247774
2.96,0.14,0.11,4.38,493.79,499.25,12:17:51,2.965349895
2.95,0.2,0.08,2.35,13.73,495.65,12:17:51,2.957853952
2.94,0.04,0.01,2.86,19,3.1,12:17:52,2.940289101
2.95,0.23,0.04,483.13,12.09,499.42,12:17:52,2.959222871
2.91,0.09,0,33.27,34.64,500.57,12:17:53,2.91139142
2.99,0.11,3.98,6.43,498.02,1.99,12:17:53,4.979216806
3.03,0.02,3.98,49.13,471.37,498.57,12:17:54,5.002169529
3.01,0.18,0.09,85.62,489.98,498.84,12:17:54,3.016720073
3.01,0.11,0.15,36.84,6.44,494.14,12:17:55,3.015742031
3.27,0.08,3.94,26.24,493.05,496.02,12:17:55,5.120830011
2.99,3.98,3.97,44.09,496.69,499.4,12:17:56,6.367212891
2.99,0.01,3.99,12.89,22.72,5.77,12:17:57,4.986010429
3.08,0.11,3.89,29.82,489.26,496.28,12:17:57,4.962922526
2.97,3.98,0.08,472.36,487.21,1.15,12:17:58,4.966658837
2.94,0.13,3.93,14.94,488.98,14.63,12:17:58,4.909725043
3.14,0.09,0.04,476.64,480.02,496.73,12:17:59,3.141544206
2.96,0.02,0.06,7.06,34.83,4.01,12:17:59,2.960675599
3,0.2,3.98,450.67,21.47,494.48,12:18:00,4.988025662
3.01,0.06,0.13,449.09,29.95,17.97,12:18:00,3.013403392
3.05,0.16,0.06,425.99,9.01,4.3,12:18:01,3.054783135
3.03,0.16,4.02,494.79,494.44,510.58,12:18:01,5.036556363
3,4.01,0.15,485.83,493.69,502.35,12:18:02,5.010249495
2.99,0.24,4.01,14.71,491.62,9.43,12:18:02,5.007773957
3.12,4,0.16,475.51,491.9,500.89,12:18:03,5.075431016
2.96,0.15,0.14,4.45,493.83,502.36,12:18:03,2.967102964
2.95,0.2,0.16,2.42,13.78,498.5,12:18:04,2.961097769
2.95,0.05,0.1,2.92,19.09,10.48,12:18:04,2.952117884
2.96,0.24,0.07,483.15,12.18,502.67,12:18:05,2.970538672
2.91,0.09,0.09,33.35,34.68,504.77,12:18:05,2.912782175
2.99,0.12,3.99,6.48,498.06,6.98,12:18:06,4.987444235
3.03,0.03,4,49.21,471.39,499.98,12:18:06,5.018147068
3.02,0.18,0.15,85.7,490.03,505.67,12:18:07,3.029075767
3.02,0.12,0.24,36.92,6.46,503.29,12:18:07,3.031897096
3.27,0.09,3.99,26.32,493.09,499.94,12:18:08,5.159563935
2.99,3.98,4,44.18,496.7,508.46,12:18:08,6.385961165
3,0.02,4.02,12.92,22.79,13.21,12:18:09,5.016054226
3.08,0.11,3.92,29.87,489.35,505.73,12:18:09,4.986471699
2.98,3.99,0.17,472.45,487.3,10.65,12:18:10,4.982910796
2.94,0.13,4.02,15.02,489.06,19.53,12:18:10,4.982057808
3.14,0.1,0.06,476.68,480.1,505.85,12:18:11,3.142164859
2.97,0.03,0.12,7.07,34.87,13.36,12:18:11,2.972574642
3,0.2,4.03,450.77,21.57,500.1,12:18:12,5.028011535
3.01,0.07,0.16,449.18,30.03,19.59,12:18:12,3.015062188
3.06,0.17,0.12,426.01,9.06,5.97,12:18:13,3.067067003
