acX,acY,acZ,gyX,gyY,gyZ,time,Akselerasi
0.71,0.45,3.37,5.47,-0.88,490.47,12:45:10,3.473254958
0.63,0.42,3.26,9.34,10.08,496.63,12:45:11,3.346774567
0.8,0.59,3.37,484.08,491.18,9.62,12:45:11,3.513545218
0.7,0.42,3.37,494.74,495.7,4.29,12:45:12,3.46746305
0.56,0.43,3.18,473.16,0.39,13.49,12:45:12,3.257437643
0.75,0.42,3.36,490.38,2.14,7.52,12:45:13,3.468212796
0.68,0.41,3.31,493.74,-0.36,499.89,12:45:14,3.403909517
0.64,0.44,3.3,6.23,495.22,493.84,12:45:14,3.390162238
0.69,0.47,3.34,3.22,9.22,4.75,12:45:15,3.44276052
0.68,0.43,3.34,492.54,11.68,12.54,12:45:15,3.435534893
0.66,0.43,3.33,491.63,495.42,500.8,12:45:16,3.421900057
0.58,0.28,3.2,482.71,492.57,15.23,12:45:16,3.264169113
0.71,0.43,3.32,497.43,-0.06,12.77,12:45:17,3.42219228
0.69,0.41,3.31,494.38,-1.21,7.81,12:45:17,3.405921314
0.65,0.42,3.33,496.67,490.39,1.97,12:45:18,3.418742459
0.6,0.42,3.28,8.26,-1.2,493.81,12:45:18,3.36077372
0.65,0.47,3.37,12.69,2.57,495.87,12:45:19,3.464144916
0.7,0.43,3.34,490.47,8.44,10.65,12:45:19,3.439549389
0.72,0.39,3.33,12.17,481.89,484.96,12:45:20,3.429198157
0.62,0.45,3.25,488.89,1.44,17.73,12:45:20,3.339071727
0.64,0.4,3.31,494.29,-1.42,497.06,12:45:21,3.394952135
0.69,0.37,3.31,8.03,5.58,485.97,12:45:21,3.401337972
0.55,0.5,3.3,492.6,498.16,482.15,12:45:22,3.382676455
0.56,0.58,3.33,489.16,5.56,495.58,12:45:22,3.426207816
0.61,0.6,3.36,14.19,15.46,26.39,12:45:23,3.467232326
0.87,0.37,3.51,495.83,13.91,12.55,12:45:23,3.635092846
0.86,0.37,3.57,498.29,11.2,6.83,12:45:24,3.690718087
0.91,0.33,3.65,494.57,10.4,494.51,12:45:24,3.776175314
0.92,0.39,3.74,497.22,2.48,500.18,12:45:25,3.871188448
0.9,0.42,3.76,497.87,497.85,498.38,12:45:25,3.88895873
0.91,0.4,3.75,499.03,-0.09,1.23,12:45:26,3.879510278
0.93,0.38,3.74,497.37,2.08,3.19,12:45:26,3.872583117
0.93,0.37,3.76,497.96,0.61,500.61,12:45:27,3.89093819
0.92,0.37,3.75,497.91,0.66,500.38,12:45:27,3.878891594
0.92,0.37,3.74,497.54,0.13,500.91,12:45:29,3.869224729
0.91,0.37,3.74,497.08,1.44,500.64,12:45:29,3.866859191
0.92,0.37,3.76,498.2,0.47,500.87,12:45:30,3.888560145
0.92,0.38,3.78,496.84,1.89,497.5,12:45:30,3.908861727
0.91,0.39,3.77,498.4,-0.33,500.9,12:45:31,3.897832731
0.71,0.46,3.44,5.52,-0.83,494.73,12:45:31,3.542499118
0.64,0.42,3.29,9.4,10.15,499.74,12:45:32,3.377883953
0.81,0.6,3.4,484.1,491.19,16.51,12:45:32,3.546279741
0.7,0.42,3.46,494.82,495.78,11.99,12:45:33,3.554996484
0.57,0.44,3.23,473.26,0.45,16.71,12:45:33,3.309289954
0.76,0.42,3.43,490.4,2.23,13.93,12:45:34,3.53820576
0.69,0.42,3.34,493.75,-0.33,508.11,12:45:34,3.436291606
0.65,0.44,3.32,6.31,495.27,503.46,12:45:35,3.411524586
0.69,0.47,3.4,3.3,9.29,6.96,12:45:35,3.500999857
0.68,0.44,3.36,492.56,11.7,20.72,12:45:36,3.456240732
0.66,0.43,3.41,491.69,495.45,502.96,12:45:36,3.499799994
0.59,0.28,3.24,482.73,492.65,22.56,12:45:37,3.305162628
0.71,0.44,3.39,497.52,0.03,20.03,12:45:37,3.491389408
0.69,0.42,3.37,494.46,-1.12,16.26,12:45:38,3.465458123
0.66,0.42,3.36,496.76,490.46,8.27,12:45:38,3.449869563
0.6,0.43,3.35,8.36,-1.1,495.9,12:45:39,3.430364412
0.66,0.48,3.39,12.75,2.63,499.92,12:45:39,3.486846713
0.71,0.44,3.41,490.53,8.45,17.67,12:45:40,3.510811872
0.73,0.39,3.42,12.26,481.98,490.8,12:45:40,3.518721359
0.63,0.46,3.27,488.97,1.49,24.82,12:45:41,3.361755494
0.65,0.4,3.41,494.32,-1.41,504.03,12:45:41,3.494366895
0.69,0.38,3.36,8.1,5.6,494.16,12:45:42,3.451101274
0.55,0.5,3.32,492.67,498.25,487.24,12:45:42,3.402190471
0.57,0.59,3.41,489.24,5.57,502.29,12:45:43,3.507292403
0.62,0.61,3.39,14.26,15.52,27.7,12:45:43,3.499799994
0.87,0.38,3.55,495.85,13.97,19.93,12:45:44,3.674751692
0.87,0.38,3.63,498.33,11.24,11.48,12:45:44,3.752092749
0.91,0.34,3.68,494.66,10.49,497.39,12:45:45,3.806060956
0.93,0.39,3.75,497.29,2.57,509.56,12:45:45,3.883233189
0.91,0.42,3.86,497.92,497.86,500.2,12:45:46,3.987994483
0.91,0.4,3.81,499.06,-0.01,2.98,12:45:46,3.937537301
0.94,0.39,3.82,497.41,2.16,5.94,12:45:47,3.953239178
0.94,0.37,3.8,498.05,0.7,505.29,12:45:47,3.931984232
0.93,0.37,3.79,498.01,0.7,502.22,12:45:48,3.919936224
0.93,0.37,3.78,497.55,0.19,507.45,12:45:48,3.910268533
0.92,0.38,3.79,497.11,1.45,509.8,12:45:49,3.918532889
0.92,0.37,3.85,498.27,0.51,502.94,12:45:49,3.97565089
