acX,acY,acZ,gyX,gyY,gyZ,time,Akselerasi
3,0.02,0.03,498.19,0.4,501,12:22:12,3.000216659
3,0.02,0.03,498.18,0.42,500.91,12:22:13,3.000216659
3,0.01,0.03,498.04,0.44,500.84,12:22:13,3.000166662
3,0.02,0.04,498.22,0.37,501.03,12:22:14,3.000333315
3,0.01,0.04,498.32,0.63,500.97,12:22:14,3.00028332
3,0.01,0.03,498.09,0.25,500.86,12:22:15,3.000166662
3,0.01,0.03,498.28,0.63,500.9,12:22:15,3.000166662
3,0.01,0.01,497.98,2.67,3.37,12:22:16,3.000033333
3,0.02,0.02,498.59,0.67,500.67,12:22:16,3.00013333
2.96,0.06,0.03,488.93,8.73,493.41,12:22:17,2.960760038
2.97,0.02,3.99,477.71,7.25,482.99,12:22:17,4.974072778
2.99,3.94,0.1,493.37,-0.77,1.9,12:22:18,4.947090054
3.03,0.01,0.14,496.57,494.3,3.3,12:22:18,3.033249083
3,0.03,0.19,491.76,467.17,23.94,12:22:19,3.006160342
3.26,0.09,0.55,39.33,469.27,470.71,12:22:19,3.307294967
3.2,0.07,0.6,482.64,25.55,1.48,12:22:20,3.256516544
3.15,0.08,0.48,496.03,10.51,12.5,12:22:20,3.187365683
3.27,0.14,0.4,488.68,12.76,12.76,12:22:21,3.297347419
3.07,0.09,0.35,7.52,16.13,4.35,12:22:21,3.091197179
3.01,0.13,0.44,3.48,13.97,496.97,12:22:22,3.044766001
3.06,0.12,0.27,492.33,0.53,1.99,12:22:22,3.074231611
3.04,0.1,0.23,492.6,8.83,1.97,12:22:23,3.050327851
3.03,0.1,0.18,495.31,2.79,1.48,12:22:23,3.03698864
3.03,0.1,0.17,499.1,0.81,501,12:22:24,3.036412357
3.03,0.1,0.19,499.21,0.7,500.49,12:22:24,3.037597735
3.02,0.1,0.16,497.94,0.4,500.64,12:22:25,3.025888299
3.03,0.1,0.18,498.29,0.67,500.84,12:22:25,3.03698864
3.02,0.11,0.18,498.29,0.95,501,12:22:26,3.027358585
3.01,0.09,0.17,498.51,1.15,500.73,12:22:26,3.016139917
3.02,0.1,0.19,499.25,1.32,500.78,12:22:27,3.02762283
3.02,0.09,0.17,496.68,0.41,0.86,12:22:27,3.026119628
3.03,0.09,0.18,499.09,-0.49,0.84,12:22:28,3.036675814
3.03,0.09,0.18,498.23,0.15,500.85,12:22:28,3.036675814
3.02,0.09,0.19,497.9,0.33,0.84,12:22:29,3.027309036
3.03,0.09,0.18,498.4,1.82,500.97,12:22:29,3.036675814
3.02,0.09,0.17,498.87,3.58,500.89,12:22:30,3.026119628
3.03,0.1,0.15,497.61,-0.6,1.08,12:22:30,3.035358298
3.01,0.02,0.07,498.27,0.44,503.96,12:22:31,3.01088027
3,0.02,0.06,498.22,0.51,503.59,12:22:31,3.000666593
3,0.01,0.07,498.06,0.45,506.68,12:22:32,3.000833218
3.01,0.02,0.13,498.31,0.42,502.06,12:22:32,3.012872384
3.01,0.02,0.07,498.4,0.65,510.81,12:22:33,3.01088027
3,0.02,0.08,498.19,0.35,506.25,12:22:33,3.001133119
3,0.02,0.04,498.32,0.66,507.74,12:22:34,3.000333315
3.01,0.02,0.1,498.06,2.75,5.49,12:22:34,3.011727079
3,0.02,0.09,498.65,0.68,508.86,12:22:35,3.001416332
2.97,0.07,0.11,489,8.82,501.52,12:22:35,2.972860575
2.98,0.03,4.01,477.73,7.3,492.98,12:22:36,4.996138509
2.99,3.94,0.13,493.42,-0.75,6.38,12:22:36,4.947787384
3.03,0.01,0.23,496.65,494.34,10.82,12:22:37,3.038733289
3.01,0.04,0.24,491.85,467.25,26.27,12:22:37,3.019817875
3.27,0.09,0.64,39.35,469.35,475.67,12:22:38,3.333256666
3.2,0.08,0.65,482.74,25.62,9.26,12:22:38,3.266328214
3.15,0.08,0.51,496.05,10.58,18.96,12:22:39,3.192021303
3.27,0.14,0.48,488.72,12.83,22.69,12:22:39,3.308005441
3.08,0.1,0.39,7.61,16.21,7.65,12:22:40,3.10620347
3.01,0.14,0.49,3.51,14.03,500.15,12:22:40,3.052834748
3.07,0.13,0.36,492.36,0.62,9.69,12:22:41,3.093767929
3.04,0.11,0.26,492.68,8.9,11.6,12:22:41,3.053080412
3.04,0.1,0.27,495.33,2.81,7.71,12:22:42,3.053604428
3.03,0.1,0.22,499.19,0.87,504.19,12:22:42,3.039621687
3.03,0.11,0.23,499.29,0.72,508.25,12:22:43,3.040707155
3.03,0.11,0.2,498,0.46,505.4,12:22:43,3.038585197
3.04,0.1,0.26,498.32,0.7,510.61,12:22:44,3.052736477
3.03,0.12,0.23,498.35,0.98,505.62,12:22:44,3.041085333
3.01,0.09,0.19,498.59,1.23,510.36,12:22:45,3.01733326
3.02,0.11,0.26,499.34,1.36,508.06,12:22:45,3.033166662
3.02,0.1,0.22,496.72,0.46,9.45,12:22:46,3.029653446
3.03,0.09,0.23,499.11,-0.39,3.4,12:22:46,3.040049342
3.03,0.1,0.21,498.26,0.21,504.43,12:22:47,3.03891428
