acX,acY,acZ,gyX,gyY,gyZ,time,Akselerasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.92,0.37,3.75,497.91,0.66,500.38,12:45:27,3.878891594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.92,0.37,3.74,497.54,0.13,500.91,12:45:29,3.869224729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.91,0.37,3.74,497.08,1.44,500.64,12:45:29,3.866859191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.92,0.37,3.76,498.2,0.47,500.87,12:45:30,3.888560145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.92,0.38,3.78,496.84,1.89,497.5,12:45:30,3.908861727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.91,0.39,3.77,498.4,-0.33,500.9,12:45:31,3.897832731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.72,0.46,3.4,5.53,-0.86,493.78,12:45:31,3.505709629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.63,0.42,3.34,9.38,10.17,498.46,12:45:32,3.424748166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.81,0.6,3.45,484.17,491.28,19.1,12:45:32,3.594245401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,0.43,3.44,494.78,495.78,12.24,12:45:33,3.536735783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.56,0.44,3.21,473.22,0.47,16.04,12:45:33,3.288054136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.76,0.42,3.38,490.45,2.2,12.39,12:45:34,3.489756438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.69,0.41,3.38,493.79,-0.34,504.31,12:45:34,3.473989062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.64,0.44,3.39,6.31,495.3,497.58,12:45:35,3.477829783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,0.47,3.44,3.3,9.27,11.63,12:45:35,3.541821565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.69,0.43,3.36,492.61,11.77,20.13,12:45:36,3.456963986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.66,0.44,3.36,491.66,495.47,503.37,12:45:36,3.452361511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.59,0.28,3.27,482.8,492.64,19.49,12:45:37,3.334576435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.71,0.44,3.36,497.51,-0.02,17.46,12:45:37,3.462268043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.69,0.42,3.4,494.47,-1.13,15.23,12:45:38,3.494638751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.65,0.42,3.38,496.73,490.47,7.29,12:45:38,3.46746305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,0.43,3.31,8.3,-1.16,494.98,12:45:39,3.39131243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.66,0.48,3.46,12.78,2.62,500.39,12:45:39,3.554940225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,0.44,3.37,490.51,8.47,19.54,12:45:40,3.469942363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.73,0.4,3.42,12.25,481.97,493.12,12:45:40,3.519843747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.63,0.46,3.32,488.95,1.48,23.24,12:45:41,3.410410532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.64,0.4,3.38,494.37,-1.38,500.05,12:45:41,3.463235481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7,0.38,3.34,8.07,5.6,491.39,12:45:42,3.433656943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.55,0.51,3.37,492.69,498.19,491.34,12:45:42,3.452462889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.56,0.59,3.36,489.23,5.61,504.39,12:45:43,3.457065229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.61,0.61,3.41,14.27,15.53,36.12,12:45:43,3.517428038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.88,0.38,3.53,495.87,13.99,13.65,12:45:44,3.657827224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.86,0.37,3.58,498.38,11.23,12.05,12:45:44,3.700391871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.92,0.33,3.75,494.62,10.46,499.85,12:45:45,3.875280635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.93,0.39,3.78,497.29,2.55,504.66,12:45:45,3.912211651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,0.42,3.84,497.93,497.87,504.68,12:45:46,3.966358531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.92,0.41,3.84,499.04,-0.06,6.47,12:45:46,3.969899243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.94,0.39,3.8,497.4,2.11,5.5,12:45:47,3.933916623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
