acX,acY,acZ,gyX,gyY,gyZ,time,Akselerasi
0.59,0.07,0.74,16.09,466.05,30.32,10:39:34,0.948999473
0.93,3.85,0.27,456.45,473.78,23.59,10:39:35,3.969924433
0.98,0.02,0.27,32.72,13.24,477.83,10:39:36,1.016710382
1,3.96,0.11,6.97,490.25,6.32,10:39:36,4.085792457
1.03,0.13,0.1,496.83,4.27,493.43,10:39:37,1.04297651
0.98,3.97,0.12,18.62,497.63,498.53,10:39:37,4.09092899
0.96,3.94,0.1,499.48,494.41,4.61,10:39:38,4.056500955
1,3.93,0.12,486.89,-1.08,498.52,10:39:38,4.057006285
0.99,3.97,0.12,3.29,498.17,500.48,10:39:39,4.093336048
0.95,3.89,0.12,17.7,-1.34,3.75,10:39:39,4.006120318
0.99,3.98,0.09,472.92,4.17,494.13,10:39:40,4.102267666
1,3.94,0.11,7.71,2.3,1.81,10:39:40,4.066411194
1,3.98,0.12,500.75,1.47,500.88,10:39:41,4.105459779
0.99,3.97,0.12,496.96,1.03,500.1,10:39:41,4.093336048
1,3.96,0.13,498.22,0.15,1.76,10:39:42,4.086379816
1,3.97,0.12,497.98,-0.79,500.39,10:39:42,4.095766107
0.99,3.95,0.11,497.55,0.18,500.37,10:39:43,4.073659289
1,3.96,0.12,497.18,1.75,500.29,10:39:43,4.08607391
0.99,3.95,0.12,498.01,1.15,500.89,10:39:44,4.07394158
1,3.97,0.12,497.8,0.37,500.45,10:39:44,4.095766107
0.99,3.97,0.11,498.05,0.11,500.68,10:39:45,4.093055094
0.99,3.96,0.11,498.15,0.4,500.98,10:39:45,4.083356463
1,3.96,0.12,497.59,1.67,0.86,10:39:46,4.08607391
0.99,3.96,0.13,497.99,1.47,2.16,10:39:46,4.083944172
0.99,3.95,0.13,497.64,0.53,500.29,10:39:47,4.074248397
0.99,3.96,0.11,498.9,-0.06,1.04,10:39:47,4.083356463
0.99,3.98,0.12,497.58,2.08,499.38,10:39:48,4.103035462
1,3.95,0.12,498.48,-0.32,0.95,10:39:48,4.076383201
1,3.96,0.12,498.19,-0.13,501,10:39:49,4.08607391
1,3.96,0.12,498.22,0.37,0.96,10:39:49,4.08607391
1,3.97,0.11,498.9,-0.19,2.75,10:39:50,4.095485319
1,3.97,0.12,496.64,0.72,498.57,10:39:50,4.095766107
0.99,3.97,0.12,500.34,1.01,5.47,10:39:51,4.093336048
0.99,3.93,0.11,494.68,0.37,496.86,10:39:51,4.054269355
0.99,3.97,0.12,498.74,-0.47,2.81,10:39:52,4.093336048
1,3.92,0.11,496.06,-0.46,498.35,10:39:52,4.047035952
1,3.96,0.12,498.48,0.45,1.48,10:39:53,4.08607391
1,3.94,0.12,497.09,0.3,498.74,10:39:53,4.066693989
0.99,3.97,0.11,498.69,0.05,1.96,10:39:54,4.093055094
1,3.93,0.12,497.5,0.22,499.46,10:39:54,4.057006285
0.99,3.97,0.11,499.35,0.11,1.9,10:39:55,4.093055094
0.99,3.94,0.13,497.44,3.98,500.46,10:39:55,4.064554096
0.96,3.87,0.15,1.3,6.23,13.7,10:39:56,3.99011278
0.95,3.84,0.24,6.07,7.98,1.77,10:39:56,3.963041761
0.96,3.89,0.29,493.49,0,496.71,10:39:57,4.017188071
0.96,3.91,0.25,496.74,497.98,500.13,10:39:58,4.033881505
0.96,3.91,0.25,497.84,0.08,0.96,10:39:58,4.033881505
0.97,3.91,0.24,498.12,0.91,500.92,10:39:59,4.035665992
0.97,3.9,0.25,497.48,-0.01,0.84,10:39:59,4.026586644
0.96,3.89,0.25,498.85,1.56,1.51,10:40:00,4.014498723
0.95,3.89,0.29,497.88,2.6,1.4,10:40:00,4.014810083
0.94,3.88,0.29,500.36,1.6,1.41,10:40:01,4.002761547
0.94,3.89,0.31,498.02,0.53,500.84,10:40:01,4.013950672
0.94,3.92,0.3,498.96,0.63,2.99,10:40:04,4.042276586
0.96,3.92,0.26,497.65,0.02,500.13,10:40:27,4.044205732
0.96,3.91,0.26,495.03,-0.63,500.96,10:40:28,4.034513601
0.95,3.88,0.28,500.11,3.74,2.9,10:40:28,4.004410069
0.94,3.88,0.28,491.47,495.21,493.89,10:40:29,4.002049475
0.95,3.9,0.28,495.97,-0.26,499.94,10:40:29,4.023791744
0.95,3.91,0.28,498.16,1.42,501,10:40:30,4.033484846
0.95,3.9,0.3,498.29,0.47,500.97,10:40:30,4.025232913
0.95,3.9,0.27,497.58,-0.4,500.61,10:40:31,4.023108251
0.95,3.89,0.29,498.76,1.81,2.01,10:40:31,4.014810083
0.94,3.88,0.31,500.58,5.63,3.13,10:40:32,4.004260231
0.93,3.87,0.35,497.9,2.29,1.51,10:40:32,3.995535008
0.93,3.87,0.34,496.99,498.26,499.64,10:40:33,3.994671451
0.94,3.87,0.32,498.04,0.11,500.26,10:40:33,3.995359809
0.94,3.88,0.33,498.38,-0.45,500.72,10:40:34,4.00585821
0.94,3.89,0.3,497.03,497.69,499.92,10:40:34,4.013190751
0.95,3.89,0.29,498.29,0.01,500.77,10:40:35,4.014810083
0.94,3.88,0.3,498.35,0.91,500.74,10:40:35,4.00349847
0.94,3.88,0.29,498.05,0.44,500.7,10:40:36,4.002761547
0.94,3.89,0.29,497.85,-0.05,500.87,10:40:36,4.012455607
0.95,3.9,0.29,497.87,0.27,1.07,10:40:37,4.024499969
0.95,3.88,0.28,498.53,0.08,500.13,10:40:37,4.004410069
0.95,3.9,0.28,498.29,0.4,500.25,10:40:38,4.023791744
0.94,3.9,0.29,498.08,0.28,500.77,10:40:38,4.022151166
0.95,3.9,0.28,498.19,0.34,500.74,10:40:39,4.023791744
0.95,3.9,0.28,497.89,0.56,1.1,10:40:39,4.023791744
0.94,3.9,0.29,499.1,2.62,500.86,10:40:40,4.022151166
0.59,3.92,0.74,497.5,466.05,30.32,10:40:40,4.032629415
0.93,3.91,0.27,498.11,473.78,23.59,10:40:41,4.028138528
0.98,3.86,0.27,496.97,13.24,477.83,10:40:41,3.991603688
1,3.91,0.11,497.92,490.25,6.32,10:40:42,4.037350616
1.03,3.97,0.1,496.36,4.27,493.43,10:40:42,4.102657675
0.98,3.92,0.12,500.17,497.63,498.53,10:40:43,4.042425015
0.96,3.86,0.1,496.93,494.41,4.61,10:40:43,3.978844053
1,3.98,0.12,497.75,-1.08,498.52,10:40:44,4.105459779
0.99,3.96,0.12,498.58,498.17,500.48,10:40:44,4.083638084
0.95,3.93,0.12,499.5,-1.34,3.75,10:40:45,4.044972188
0.99,3.95,0.09,497.77,4.17,494.13,10:40:45,4.0731683
1,3.93,0.11,499.54,2.3,1.81,10:40:46,4.056722815
1,3.89,0.12,497.7,1.47,500.88,10:40:46,4.018270772
0.99,3.88,0.12,497.68,1.03,500.1,10:40:47,4.006107837
1,3.98,0.13,500.47,0.15,1.76,10:40:47,4.105764241
1,3.94,0.12,500.36,-0.79,500.39,10:40:48,4.066693989
0.99,3.89,0.11,499.85,0.18,500.37,10:40:48,4.01550744
1,3.95,0.12,497.57,1.75,500.29,10:40:49,4.076383201
0.99,3.94,0.12,500.75,1.15,500.89,10:40:49,4.064246548
1,3.92,0.12,496.33,0.37,500.45,10:40:50,4.047320101
0.99,3.9,0.11,497.45,0.11,500.68,10:40:50,4.025195647
0.99,3.95,0.11,497.02,0.4,500.98,10:40:51,4.073659289
1,3.89,0.12,500.32,1.67,0.86,10:40:51,4.018270772
0.99,3.87,0.13,497.97,1.47,2.16,10:40:52,3.996736168
0.99,3.91,0.13,496.2,0.53,500.29,10:40:52,4.035480145
0.99,3.87,0.11,497.69,-0.06,1.04,10:40:53,3.996135633
0.99,3.93,0.12,500.69,2.08,499.38,10:40:53,4.054552996
1,3.94,0.12,498.51,-0.32,0.95,10:40:54,4.066693989
1,3.85,0.12,498.03,-0.13,501,10:40:54,3.979560277
1,3.93,0.12,497.4,0.37,0.96,10:40:55,4.057006285
1,3.97,0.11,498.83,-0.19,2.75,10:40:55,4.095485319
1,3.88,0.12,500.17,0.72,498.57,10:40:56,4.008590775
0.99,3.88,0.12,500.11,1.01,5.47,10:40:56,4.006107837
0.99,3.93,0.11,498.52,0.37,496.86,10:40:57,4.054269355
0.99,3.9,0.12,500.66,-0.47,2.81,10:40:57,4.025481338
1,3.99,0.11,500.7,-0.46,498.35,10:40:58,4.114875454
1,3.86,0.12,496.71,0.45,1.48,10:40:58,3.989235516
1,3.91,0.12,498.34,0.3,498.74,10:40:59,4.037635447
0.99,3.97,0.11,499.43,0.05,1.96,10:40:59,4.093055094
1,3.99,0.12,499.21,0.22,499.46,10:41:00,4.115154918
0.99,3.9,0.11,498.45,0.11,1.9,10:41:00,4.025195647
0.99,3.9,0.13,500.94,3.98,500.46,10:41:01,4.025791848
0.96,3.98,0.15,498.66,6.23,13.7,10:41:01,4.096889064
0.95,3.97,0.24,496.87,7.98,1.77,10:41:02,4.089131937
0.96,3.93,0.29,498.57,0,496.71,10:41:02,4.055933925
0.96,3.99,0.25,497.53,497.98,500.13,10:41:03,4.111471756
0.96,3.93,0.25,497.28,0.08,0.96,10:41:03,4.053270285
0.97,3.95,0.24,496.91,0.91,500.92,10:41:04,4.074432476
0.97,3.98,0.25,498.86,-0.01,0.84,10:41:04,4.104119881
0.96,3.89,0.25,497.83,1.56,1.51,10:41:05,4.014498723
0.95,3.95,0.29,497.92,2.6,1.4,10:41:05,4.072971888
0.94,3.91,0.29,499.77,1.6,1.41,10:41:06,4.031848211
0.94,3.99,0.31,499.99,0.53,500.84,10:41:06,4.110936633
0.94,3.91,0.3,498.81,0.63,2.99,10:41:07,4.032579819
0.96,3.98,0.26,500.01,0.02,500.13,10:41:07,4.102389548
0.96,3.98,0.26,496.44,-0.63,500.96,10:41:08,4.102389548
0.95,3.85,0.28,498,3.74,2.9,10:41:08,3.975349041
0.94,3.85,0.28,500.18,495.21,493.89,10:41:09,3.97297118
0.95,3.98,0.28,497.19,-0.26,499.94,10:41:09,4.101377817
0.95,3.9,0.28,497.95,1.42,501,10:41:10,4.023791744
0.95,3.94,0.3,500.43,0.47,500.97,10:41:10,4.064000492
0.95,3.87,0.27,500.82,-0.4,500.61,10:41:11,3.994033049
0.95,3.97,0.29,497.96,1.81,2.01,10:41:11,4.092370951
0.94,3.88,0.31,499.36,5.63,3.13,10:41:12,4.004260231
0.93,3.92,0.35,499.86,2.29,1.51,10:41:12,4.043983185
0.93,3.85,0.34,499.39,498.26,499.64,10:41:13,3.975298731
0.94,3.95,0.32,500.23,0.11,500.26,10:41:13,4.072898231
0.94,3.96,0.33,497.71,-0.45,500.72,10:41:14,4.083393197
0.94,3.88,0.3,496.48,497.69,499.92,10:41:14,4.00349847
0.95,3.97,0.29,496.55,0.01,500.77,10:41:15,4.092370951
0.94,3.97,0.3,497.12,0.91,500.74,10:41:15,4.090782321
0.94,3.89,0.29,500.13,0.44,500.7,10:41:16,4.012455607
0.94,3.95,0.29,500.82,-0.05,500.87,10:41:16,4.070651054
0.95,3.91,0.29,497.92,0.27,1.07,10:41:17,4.034191369
0.95,3.96,0.28,497.23,0.08,500.13,10:41:17,4.081972562
0.95,3.91,0.28,497.71,0.4,500.25,10:41:18,4.033484846
0.94,3.92,0.29,496.44,0.28,500.77,10:41:18,4.041546734
